CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,GE01,AG01_01,PE01_01,PE01_02,PE01_03,PE01_04,EE01_01,EE01_02,EE01_03,SI01_01,SI01_02,SI01_03,FC01_01,FC01_02,FC01_03,HM01_01,HM01_02,HM01_03,PR01_01,PR01_02,PR01_03,PR01_04,HB01_01,HB01_02,HB01_03,TS01_05,TS01_06,TS01_07,PI01_01,PI01_02,PI01_03,IF01_01,IF01_02,IF01_03,IF01_04,IF01_05,LF01_01,LF01_02,LF01_03,LF01_04,LF01_05,BI01_01,BI01_02,BI01_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
197,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,25,6,7,6,7,5,6,6,6,7,6,5,5,6,7,7,7,6,6,5,5,6,5,6,6,7,4,7,6,7,5,7,3,4,6,3,7,3,6,5,6,6,7,14,23,14,11,15,10,6,18,17,15,12,23,37,19,218,,2022-02-23 20:38:28,1,0,14,14,0,0,1.32,21
203,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,21,1,1,1,1,4,5,5,1,1,1,2,2,2,4,4,6,2,4,4,1,2,1,2,5,5,5,3,1,2,1,5,1,1,4,1,4,2,5,5,3,2,3,30,7,71,43,28,19,13,30,21,24,18,47,34,25,410,,2022-02-23 22:08:04,1,0,14,14,0,0,0.84,2
205,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,22,5,3,5,4,5,5,5,5,5,2,5,5,3,6,6,6,4,4,4,3,4,5,5,3,6,7,2,2,2,2,6,3,2,6,3,6,3,3,6,6,3,6,116,8,40,13,22,16,12,27,17,19,13,22,32,18,375,,2022-02-23 23:33:52,1,0,14,14,0,0,1.09,8
207,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,30,4,6,6,7,3,4,4,6,1,,4,4,2,1,2,4,7,5,3,4,4,2,3,4,7,7,4,4,4,1,2,2,4,3,,,,,,2,4,5,57,8,35,63,142,25,20,58,115,49,47,83,14,19,424,,2022-02-24 09:52:33,1,0,14,14,14,13,0.59,4
217,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,233,,2022-02-24 22:09:25,1,0,14,14,0,0,1.19,10
265,CASE000264,264,commericaltransport,interview,2022-03-03 11:49:26,2,31,6,5,5,6,4,5,5,7,7,5,3,3,6,7,7,7,5,4,4,3,5,4,5,5,6,5,7,5,6,4,6,5,6,4,4,5,4,4,5,6,5,6,6,11,12,11,10,11,6,14,9,9,10,20,29,8,166,,2022-03-03 11:52:12,1,0,14,14,0,0,1.76,39
267,CASE000266,266,privatetransport,interview,2022-03-03 11:53:13,1,28,5,6,5,6,6,5,6,7,7,6,5,6,6,7,7,7,6,5,6,7,6,5,6,5,7,5,7,7,7,5,6,5,6,5,5,4,6,4,5,7,6,7,5,8,9,6,6,5,5,6,4,7,5,10,11,6,93,,2022-03-03 11:54:46,1,0,14,14,0,0,2.78,120
269,CASE000268,268,commericaltransport,interview,2022-03-03 11:54:55,2,32,6,6,6,6,6,5,5,6,7,6,6,5,6,6,7,5,6,4,4,4,6,5,4,6,5,5,7,6,6,3,5,4,6,5,3,5,4,5,3,6,6,5,333,13,6,8,9,7,9,8,7,7,7,10,10,5,117,,2022-03-03 12:02:14,1,0,14,14,0,0,2.29,77
271,CASE000270,270,privatetransport,interview,2022-03-03 12:02:19,1,35,6,5,5,6,5,6,5,7,7,4,6,5,5,7,7,7,6,5,4,6,6,5,6,6,6,5,7,6,7,3,5,3,5,3,5,4,5,4,5,7,6,6,278,7,7,5,5,7,5,9,6,4,7,8,7,6,100,,2022-03-03 12:08:20,1,0,14,14,0,0,2.55,120
273,CASE000272,272,commericaltransport,interview,2022-03-03 12:08:26,1,33,6,7,6,6,6,5,6,6,5,5,5,5,5,6,7,7,3,4,4,3,5,4,5,6,6,5,7,7,7,6,5,6,5,6,3,6,5,6,4,6,7,6,190,10,7,5,7,4,6,12,5,10,6,7,12,4,106,,2022-03-03 12:13:11,1,0,14,14,0,0,2.35,97
277,CASE000276,276,commericaltransport,interview,2022-03-03 17:37:24,1,22,7,7,7,7,5,5,5,6,6,5,7,5,6,6,7,7,5,6,5,5,6,6,6,4,4,5,5,6,5,3,7,3,4,7,2,7,2,7,7,7,4,6,9,10,19,13,101,17,63,31,22,44,94,242,32,21,298,,2022-03-03 17:49:22,1,0,14,14,0,0,0.75,5
279,CASE000278,278,privatetransport,interview,2022-03-03 17:40:54,1,22,5,6,7,6,3,4,5,6,6,4,5,3,2,7,7,7,6,6,4,3,4,5,5,3,6,6,7,6,6,2,7,3,4,6,2,7,5,7,7,7,5,7,43,7,46,87,23,23,11,27,17,17,21,29,29,13,326,,2022-03-03 17:47:27,1,0,14,14,0,0,0.96,4
281,CASE000280,280,privatetransport,interview,2022-03-03 17:43:25,1,21,5,5,6,5,6,7,7,7,3,3,3,6,4,5,5,5,4,6,4,4,5,3,4,6,6,6,7,6,6,5,5,5,5,5,6,6,6,6,6,5,6,5,5,8,18,31,49,613,14,15,19,1269,15,12,21,13,267,,2022-03-03 18:18:27,1,0,14,14,0,0,1.24,24
283,CASE000282,282,commericaltransport,interview,2022-03-03 17:53:52,1,21,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23,9,8,3,5,3,5,5,3,5,3,5,8,3,88,,2022-03-03 17:55:20,1,0,14,14,0,0,2.62,169
285,CASE000284,284,commericaltransport,interview,2022-03-03 18:00:43,1,21,4,4,6,4,6,7,7,1,1,5,5,5,6,6,6,6,5,6,6,5,5,3,2,5,5,6,6,3,5,5,5,6,6,4,5,6,5,5,5,6,5,5,5,12,25,31,33,20,27,27,36,7,5,29,11,7,275,,2022-03-03 18:05:19,1,0,14,14,0,0,1.38,31
287,CASE000286,286,privatetransport,interview,2022-03-03 18:01:10,1,21,5,4,5,5,7,7,7,4,5,4,7,5,5,6,5,5,4,5,5,5,4,4,4,3,6,6,4,4,4,1,7,4,4,6,5,5,4,5,5,5,3,4,27,6,45,19,25,36,11,79798,8,23,6,28,12,21,294,,2022-03-04 16:15:35,1,0,14,14,0,0,1.24,20
293,CASE000292,292,commericaltransport,interview,2022-03-03 18:05:15,1,23,5,6,7,5,5,6,6,7,7,3,6,4,6,6,7,6,7,6,5,2,5,5,6,2,7,5,6,2,4,3,7,5,3,6,3,6,3,7,5,6,2,7,2,4,42,23,16,21,23,30,19,37,34,42,50,27,370,,2022-03-03 18:11:25,1,0,14,14,0,0,0.98,20
295,CASE000294,294,privatetransport,interview,2022-03-03 18:06:36,2,22,1,4,6,3,1,1,1,5,2,1,1,1,7,1,1,1,1,5,4,1,1,1,1,1,6,1,5,1,6,1,7,1,1,1,1,7,5,7,7,1,1,6,6,8,17,16,17,11,10,19,9,18,21,19,27,11,209,,2022-03-03 18:10:05,1,0,14,14,0,0,1.56,28
299,CASE000298,298,commericaltransport,interview,2022-03-03 18:13:54,1,21,4,5,6,4,6,6,6,6,7,4,4,4,5,6,7,6,6,7,4,4,5,6,5,6,6,5,5,3,5,3,7,5,5,7,3,7,3,6,6,6,3,6,4,6,35,19,20,23,11,19,17,26,14,20,22,12,248,,2022-03-03 18:18:03,1,0,14,14,0,0,1.23,14
301,CASE000300,300,privatetransport,interview,2022-03-03 18:15:09,1,21,6,4,4,5,7,7,6,6,7,4,5,3,3,6,6,4,6,4,4,1,5,4,5,3,7,6,6,6,6,1,7,4,2,7,3,6,3,6,6,7,3,6,119,7,37,15,18,63,13,26,16,24,72,36,159,31,457,,2022-03-03 18:25:45,1,0,14,14,0,0,0.80,4
305,CASE000304,304,commericaltransport,interview,2022-03-03 18:48:27,1,54,5,6,6,6,5,5,5,4,7,4,5,5,4,5,6,6,6,6,5,5,6,5,6,5,7,7,6,4,5,3,7,4,4,6,5,6,4,6,6,5,4,6,76,7,51,27,54,27,16,32,26,30,180,283,70,30,494,,2022-03-03 19:03:36,1,0,14,14,0,0,0.54,0
311,CASE000310,310,commericaltransport,interview,2022-03-03 19:13:58,1,22,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,5,4,1,3,1,1,2,3,4,2,1,2,2,5,3,3,5,1,4,1,6,6,1,1,1,53,13,70,37,22,18,12,44,46,30,42,38,59,23,507,,2022-03-03 19:22:25,1,0,14,14,0,0,0.61,0
315,CASE000314,314,privatetransport,interview,2022-03-03 19:22:49,2,19,5,5,5,5,5,5,6,3,3,2,2,2,1,5,5,5,5,6,7,4,3,3,2,4,6,4,5,2,4,1,5,1,3,6,3,5,3,5,6,4,4,6,5,8,49,21,29,15,10,148,13,16,18,19,37,17,284,,2022-03-03 19:29:34,1,0,14,14,0,0,1.20,17
317,CASE000316,316,commericaltransport,interview,2022-03-03 19:24:55,1,22,1,1,1,1,4,4,4,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,1,6,1,6,1,6,3,1,1,1,4,5,16,27,10,22,6,10,25,13,6,44,24,10,222,,2022-03-03 19:28:37,1,0,14,14,0,0,1.59,33
323,CASE000322,322,commericaltransport,interview,2022-03-03 20:31:43,1,21,7,7,7,7,7,7,7,7,4,4,4,4,4,7,7,7,1,1,1,1,4,4,5,1,7,4,4,4,4,3,5,3,3,5,3,3,3,5,5,5,4,7,14,7,42,37,24,20,12,25,13,21,20,36,39,18,328,,2022-03-03 20:37:12,1,0,14,14,0,0,0.90,3
329,CASE000328,328,privatetransport,interview,2022-03-08 18:17:42,1,34,7,5,7,7,5,5,7,6,5,5,6,6,7,6,6,7,5,7,5,6,6,5,4,6,4,7,3,5,6,5,5,3,4,7,2,7,2,7,6,7,4,7,101,334,27,23,100,10,38,53,7,36,19,50,34,10,418,,2022-03-08 18:31:44,1,0,14,14,0,0,0.93,13
331,CASE000330,330,commericaltransport,interview,2022-03-09 01:14:48,2,31,6,5,6,7,3,4,3,2,3,4,5,6,5,6,7,6,4,6,3,4,7,7,5,3,6,6,5,6,7,2,6,2,3,6,4,7,5,7,7,7,5,7,11,7,56,50,43,47,45,77,46,37,37,36,59,36,470,,2022-03-09 01:24:35,1,0,14,14,0,0,0.54,0
335,CASE000334,334,commericaltransport,interview,2022-03-09 01:28:55,1,29,5,6,5,5,6,7,7,3,3,3,7,6,4,6,5,5,4,5,4,4,5,4,5,3,6,6,5,6,6,5,7,5,5,6,5,6,5,6,6,6,6,6,4,6,246,21,18,49,32,26,44,15,22,87,31,12,306,,2022-03-09 01:39:08,1,0,14,14,0,0,0.91,8
339,CASE000338,338,commericaltransport,interview,2022-03-09 01:39:44,1,35,6,5,6,6,4,5,5,5,6,5,5,4,4,7,5,6,6,6,5,5,5,5,4,6,7,7,6,5,6,3,7,5,4,6,4,6,4,6,6,5,4,6,6,51,20,15,53,20,17,47,26,42,24,28,50,35,390,,2022-03-09 01:46:58,1,0,14,14,0,0,0.81,6
341,CASE000340,340,privatetransport,interview,2022-03-09 01:47:04,2,31,4,4,5,4,6,6,7,1,5,1,5,5,6,7,6,6,6,6,5,5,5,3,5,2,6,6,6,3,5,4,6,5,5,6,5,6,5,6,5,5,5,5,2,83,34,23,48,34,11,43,23,12,29,33,50,12,362,,2022-03-09 01:54:21,1,0,14,14,0,0,1.01,32
345,CASE000344,344,privatetransport,interview,2022-03-09 01:56:05,1,28,5,6,5,7,5,6,6,5,6,5,6,4,7,7,6,7,6,7,6,2,5,3,4,2,6,5,7,5,6,2,6,3,5,7,3,6,3,6,7,5,2,7,4,7,26,16,47,61,70,18,61,23,13,54,33,10,342,,2022-03-09 02:03:28,1,0,14,14,0,0,1.08,19
347,CASE000346,346,commericaltransport,interview,2022-03-09 02:03:34,1,27,5,5,4,5,4,5,7,7,7,7,4,5,5,7,6,5,4,5,5,5,4,4,4,3,5,6,4,4,6,1,7,4,4,6,4,5,4,5,5,5,3,4,55,7,35,22,12,50,12,11,48,16,44,61,31,25,398,,2022-03-09 02:10:43,1,0,14,14,0,0,0.86,7
357,CASE000356,356,privatetransport,interview,2022-03-09 21:29:36,2,50,3,3,4,4,2,3,2,5,6,5,2,3,3,5,6,6,5,6,4,2,3,3,2,5,6,6,4,2,3,3,6,4,4,6,3,6,4,6,6,5,3,5,4,9,24,11,14,25,15,18,43,24,49,69,23,19,347,,2022-03-09 21:35:23,1,0,14,14,0,0,1.20,23
365,CASE000364,364,commericaltransport,interview,2022-03-09 21:42:35,1,62,4,3,5,5,3,4,4,5,6,5,3,3,4,6,6,6,6,7,5,4,5,5,4,4,6,6,5,4,5,4,6,3,4,7,4,6,3,7,7,6,3,6,3,10,28,178,125,7,30,18,23,32,9,20,13,9,243,,2022-03-09 21:51:00,1,0,14,14,0,0,1.30,28
367,CASE000366,366,privatetransport,interview,2022-03-09 21:44:14,1,26,4,4,4,4,6,6,6,4,4,4,6,6,5,6,6,5,5,6,5,4,4,4,5,5,5,4,6,5,5,4,5,3,2,2,3,5,3,5,5,6,5,6,36,20,179,43,52,35,19,30,60,95,41,94,64,39,537,,2022-03-09 21:57:42,1,0,14,14,0,0,0.46,0
369,CASE000368,368,commericaltransport,interview,2022-03-10 03:16:23,1,23,5,4,5,4,4,5,5,3,3,3,4,3,3,5,5,5,5,4,4,3,4,3,4,5,4,4,5,5,5,2,6,2,2,6,2,6,2,4,5,5,4,5,73,7,37,17,29,19,13,21,12,20,15,23,36,15,337,,2022-03-10 03:22:00,1,0,14,14,0,0,0.99,6
371,CASE000370,370,privatetransport,interview,2022-03-10 10:01:47,1,21,3,6,6,6,5,6,6,6,4,3,6,6,4,6,6,6,6,6,4,3,4,3,5,6,7,3,5,3,5,2,7,3,4,7,3,7,3,6,6,6,3,6,7,8,42,31,36,33,19,32,26,43,28,87,64,35,491,,2022-03-10 10:09:58,1,0,14,14,0,0,0.79,5
375,CASE000374,374,commericaltransport,interview,2022-03-10 10:13:08,1,20,5,6,4,4,3,5,4,5,2,5,4,5,2,1,1,1,1,2,2,1,2,1,1,3,7,7,4,4,4,1,6,2,3,7,1,2,1,3,4,1,1,2,8,5,18,30,15,17,6,15,64,9,31,16,151,9,274,,2022-03-10 10:19:42,1,0,14,14,0,0,1.24,20
377,CASE000376,376,commericaltransport,interview,2022-03-10 10:15:39,1,26,4,4,6,6,5,6,5,6,4,4,4,4,1,6,5,4,6,6,2,4,5,4,4,5,5,4,4,5,4,5,4,3,4,5,4,3,5,4,3,6,4,5,4,5,141,12,21,19,11,194,24,68,31,9,6,11,270,,2022-03-10 10:24:55,1,0,14,14,0,0,1.30,33
